,Solver,Layers,Learning_Rate,Maximum_Iteration,Training_Accuracy,Test_Accuracy,Training_Precision,Training_Recall,Training_F1_Score,Training_Time
0,adam,2,0.1,5,0.10218333333333333,0.101,0.010218333333333333,0.1,0.018541984848255734,4.191274881362915
1,adam,2,0.1,10,0.10218333333333333,0.1011,0.010218333333333333,0.1,0.018541984848255734,7.982342958450317
2,adam,2,0.1,15,0.09736666666666667,0.0982,0.009736666666666668,0.1,0.01774551198323259,11.670865058898926
3,adam,2,0.01,5,0.9206,0.9207,0.9219214551330129,0.9192463225706886,0.9195174155048255,4.092324733734131
4,adam,2,0.01,10,0.94065,0.9339,0.9404851176735326,0.9401820755408143,0.9400827126357584,8.06083059310913
5,adam,2,0.01,15,0.927,0.9237,0.9271039620974344,0.9262276393974483,0.9259438106131628,11.792259931564331
6,adam,3,0.1,5,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,5.044171571731567
7,adam,3,0.1,10,0.31765,0.3198,0.15758497676259908,0.3026706159512645,0.200200253913225,10.16759443283081
8,adam,3,0.1,15,0.10441666666666667,0.1028,0.010441666666666667,0.1,0.018908926280842075,13.295235633850098
9,adam,3,0.01,5,0.91705,0.9092,0.9165510689216922,0.9154448471711621,0.915579709214495,5.243533372879028
10,adam,3,0.01,10,0.9545,0.9454,0.9549839214237361,0.9536211424775182,0.9539586638984325,10.188848495483398
11,adam,3,0.01,15,0.9495833333333333,0.9383,0.9496370298008608,0.9489367962524341,0.9487980205054193,15.515923500061035
12,adam,4,0.1,5,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,6.016938924789429
13,adam,4,0.1,10,0.09871666666666666,0.098,0.009871666666666666,0.1,0.017969449205891722,11.658612251281738
14,adam,4,0.1,15,0.10441666666666667,0.1028,0.010441666666666667,0.1,0.018908926280842075,18.34710168838501
15,adam,4,0.01,5,0.8424833333333334,0.8432,0.8427892359509486,0.8397415279148877,0.8386473295989172,6.019466161727905
16,adam,4,0.01,10,0.9538833333333333,0.9402,0.9548232585109817,0.9531329630833343,0.9534638913610299,12.013134002685547
17,adam,4,0.01,15,0.9555,0.9485,0.9557121840278369,0.9549704923346163,0.9550884914810973,17.996475219726562
18,sgd,2,0.1,5,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,3.6276211738586426
19,sgd,2,0.1,10,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,6.986114978790283
20,sgd,2,0.1,15,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,8.325423240661621
21,sgd,2,0.01,5,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,3.5767035484313965
22,sgd,2,0.01,10,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,6.999914884567261
23,sgd,2,0.01,15,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,8.346251249313354
24,sgd,3,0.1,5,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,4.464818239212036
25,sgd,3,0.1,10,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,8.786856651306152
26,sgd,3,0.1,15,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,10.554458856582642
27,sgd,3,0.01,5,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,4.420389890670776
28,sgd,3,0.01,10,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,8.796809911727905
29,sgd,3,0.01,15,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,10.681700706481934
30,sgd,4,0.1,10,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,10.795979738235474
31,sgd,4,0.01,5,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,5.414458990097046
32,sgd,4,0.01,10,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,10.676784753799438
33,sgd,4,0.01,15,0.11236666666666667,0.1135,0.011236666666666667,0.1,0.020203170417428307,12.804598093032837
34,lbfgs,2,0.1,5,0.33555,0.3427,0.30997055563678394,0.33029484034210044,0.2926472479634709,2.6374716758728027
35,lbfgs,2,0.1,10,0.6695166666666666,0.6721,0.6677167003321259,0.6649054683654663,0.6650501127303701,4.674278259277344
36,lbfgs,2,0.1,15,0.8159333333333333,0.8189,0.8135103146666873,0.8129681971423823,0.8129503050268196,7.204812049865723
37,lbfgs,2,0.01,5,0.40986666666666666,0.4102,0.3852179472589907,0.3988440173038263,0.36030977236746914,2.6906557083129883
38,lbfgs,2,0.01,10,0.5917,0.5964,0.5927510578390788,0.5864933663460047,0.5861517940109893,5.232603073120117
39,lbfgs,2,0.01,15,0.7584666666666666,0.7603,0.7584901449696101,0.7559683444255961,0.7517667550377383,6.721648454666138
40,lbfgs,3,0.1,5,0.2682833333333333,0.2572,0.25832676108597713,0.27284376875317673,0.24281617355579987,3.7872822284698486
41,lbfgs,3,0.1,10,0.5858333333333333,0.5881,0.5885247064385151,0.5814838388490642,0.5817079509391169,6.34451699256897
42,lbfgs,3,0.1,15,0.75825,0.7663,0.7612599033765539,0.754274814539986,0.7527132509358584,8.37929892539978
43,lbfgs,3,0.01,5,0.3566666666666667,0.3536,0.4113011284166257,0.34843051322714663,0.31706417293662775,3.271799325942993
44,lbfgs,3,0.01,10,0.45113333333333333,0.4615,0.4443758526551762,0.44675381620182997,0.44020064533785963,5.988219261169434
45,lbfgs,3,0.01,15,0.7344833333333334,0.741,0.7324645408211563,0.7303377418300221,0.7306568803644671,8.405582904815674
46,lbfgs,4,0.1,5,0.25505,0.2429,0.2576019596715021,0.25232875827828083,0.22028508601129665,4.557811260223389
47,lbfgs,4,0.1,10,0.4754833333333333,0.4774,0.4603876478316945,0.46966397988266967,0.459517545347766,7.13346266746521
48,lbfgs,4,0.1,15,0.7460833333333333,0.7439,0.742735365649582,0.741818817743926,0.739894670023151,10.214748859405518
49,lbfgs,4,0.01,5,0.23468333333333333,0.2269,0.24454184054496014,0.2338211314592261,0.2200425609355353,3.95599627494812
50,lbfgs,4,0.01,10,0.4855333333333333,0.4934,0.49704860115583543,0.4824167265921657,0.48411003421522186,7.656571388244629
51,lbfgs,4,0.01,15,0.7065,0.7121,0.7158289715729185,0.7023622715351903,0.6894099779247843,12.32607102394104
